"age","anxiety","anxiety_r","artgluctot","attachhome","attachphone","AvgHumidity","avgtemp","avoidance","avoidance_r","cigs","didf","eatdrink","eot","exercise","gluctot","health","hiTemp","kamf","langfamily","language","mintemp","monogamous","networksize","nostalgia","onlineid","riskAvd","romantic","scontrol","sex","Site","smoke","socialdiversity","socialembedded","socTherm","soliTherm","stress"
1974,2.44444444444444,-0.329838432040791,2,4.66666666666667,3.88888888888889,81,36.25,1.11111111111111,-1.75556732068259,0,1.54545454545455,1,3,2,0,3,3,2.85714285714286,1,2,7,5,48,14,3.81818181818182,3.66666666666667,1,56,2,"Chile",2,9,4,3,4,37
1974,2.38888888888889,-0.386428359106613,1,4.11111111111111,1.88888888888889,75,36.5,4,0.904826121151142,NA,2.27272727272727,1,4,2,0,5,3.14285714285714,3,1,2,3,6,23,27,2,3,1,42,2,"Chile",1,7,4,1.8,1.875,35
1975,5.05555555555556,2.32988814005284,0,4.11111111111111,2.88888888888889,62,36.1,1.77777777777778,-1.14163037256711,0,1.54545454545455,1,1.2,2,0,2,3.14285714285714,3.28571428571429,1,2,11,4,25,12,3,3,2,38,2,"Chile",2,6,3,3.8,3.375,35
1975,3.94444444444444,1.1980895987364,1,3.22222222222222,2.88888888888889,71,36.35,4.55555555555556,1.4164402445807,NA,2.27272727272727,1,2,2,2,3,3.71428571428571,6.14285714285714,1,2,12,7,39,27,2.90909090909091,2.33333333333333,1,43,2,"Chile",1,9,4,3,3.875,40
1978,4.16666666666667,1.42444930699969,0,4.22222222222222,1.77777777777778,85,36.2,1.66666666666667,-1.24395319725302,NA,1.18181818181818,1,1.6,2,1,3,3.57142857142857,1.71428571428571,1,2,14,6,35,8,1.90909090909091,1.33333333333333,2,45,2,"Chile",1,8,4,2.2,2.25,48
1981,2.11111111111111,-0.669377994435722,0,4.55555555555556,2,72,36.45,1.11111111111111,-1.75556732068259,2,2.36363636363636,1,2.4,2,0,5,1.57142857142857,2,1,2,2,6,21,28,1.90909090909091,3.66666666666667,1,44,1,"Chile",2,8,3,2.8,4.25,32
1981,2.16666666666667,-0.612788067369901,0,4.44444444444444,2.55555555555556,74,36.65,1.83333333333333,-1.09046896022415,NA,2.81818181818182,1,2.6,2,1,4,2.28571428571429,3.85714285714286,1,2,6,7,27,25,3.09090909090909,4,1,44,2,"Chile",1,7,3,3.2,4.375,33
1982,3.27777777777778,0.519010473946539,1,4.22222222222222,2.77777777777778,79,36.3,4.83333333333333,1.67224730629549,0,3,1,2,2,0,3,3.14285714285714,3.14285714285714,1,2,2,7,19,30,2.45454545454545,2,1,38,2,"Chile",2,8,3,2.6,3.125,46
1983,3.05555555555556,0.292650765683251,0,3.88888888888889,3.22222222222222,59,36.8,5.05555555555556,1.87689295566731,NA,1.54545454545455,1,3,2,1,5,4,3.71428571428571,1,2,2,7,28,20,3.09090909090909,4.33333333333333,1,55,2,"Chile",1,7,4,3,2.875,26
1984,1.55555555555556,-1.23527726509394,2,3.88888888888889,3.22222222222222,61,36.15,3.44444444444444,0.393211997721579,NA,1.18181818181818,1,1.2,2,1,4,2.14285714285714,3.28571428571429,1,2,6,7,26,36,2.90909090909091,2.66666666666667,1,42,1,"Chile",1,8,5,1.6,1.75,34
